"origine";"destination";"premiereclasse";"secondeclasse";"loisir2nd";"Commentaires"
"201";"AIX EN PROVENCE TGV";"SETE";"50";NA;"37";""
"202";"AIX EN PROVENCE TGV";"ST PIERRE DES CORPS";"167";25;"125";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"203";"AIX EN PROVENCE TGV";"ST RAPHAEL VALESCURE";"48";NA;"34";""
"204";"AIX EN PROVENCE TGV";"TGV HAUTE PICARDIE";"174";30;"136";""
"205";"AIX EN PROVENCE TGV";"TOUL";"151";25;"117";""
"206";"AIX EN PROVENCE TGV";"TOULON";"27";NA;"18";""
"207";"AIX EN PROVENCE TGV";"TOULOUSE MATABIAU";"100";20;"69";""
"208";"AIX EN PROVENCE TGV";"VALENCE";"70";NA;"48";""
"209";"AIX EN PROVENCE TGV";"VALENCE TGV";"69";15;"48";""
"210";"AIX EN PROVENCE TGV";"VENDOME VILLIERS SUR LOIR";"167";25;"125";""
"211";"AIX EN PROVENCE TGV";"VENTIMIGLIA STAZIONE";"69";NA;"46";""
"212";"AIX EN PROVENCE TGV";"VENTIMIGLIA STAZIONE  (IT)";"69";NA;"46";""
"213";"AIX EN PROVENCE TGV";"VERSAILLES CHANTIERS";"162";25;"116";""
"214";"AIX LES BAINS LE REVARD";"ALBERTVILLE";"31";NA;"19,5";""
"215";"AIX LES BAINS LE REVARD";"ANTIBES";"163";25;"105";""
"216";"AIX LES BAINS LE REVARD";"AURAY";"179";30;"137";""
"217";"AIX LES BAINS LE REVARD";"BOURG EN BRESSE";"32";NA;"22";""
"218";"AIX LES BAINS LE REVARD";"DOUAI";"167";25;"127";""
"219";"AIX LES BAINS LE REVARD";"REDON";"179";30;"137";""
"220";"AIX LES BAINS LE REVARD";"SALLANCHES COMBLOUX MEGEVE";"36";NA;"24,5";""
"221";"AIX LES BAINS LE REVARD";"ST GERVAIS LES BAINS LE FAYET";"38";NA;"25";""
"222";"AIX LES BAINS LE REVARD";"ST RAPHAEL VALESCURE";"163";25;"100";""
"223";"AIX LES BAINS LE REVARD";"MASSY PALAISEAU";"136";25;"103";""
"224";"AIX LES BAINS LE REVARD";"VERSAILLES CHANTIERS";"136";25;"103";""
"225";"ALBERTVILLE";"ALBERTVILLE-LAVAL";"162";25;"120";""
"226";"ALBERTVILLE";"AURAY";"179";30;"137";""
"227";"ALBERTVILLE";"BERNAY";"165";25;"125";""
"228";"ALBERTVILLE";"BOURG EN BRESSE";"28,5";NA;"22";""
"229";"ALBERTVILLE";"DOUAI";"167";25;"127";""
"230";"ALBERTVILLE";"ECOLE VALENTIN";"89";NA;"75";""
"231";"ALBERTVILLE";"LISIEUX";"165";25;"125";""
"232";"ALBERTVILLE";"REDON";"179";30;"137";""
"233";"ANCENIS";"LA ROCHE SUR YON";"35";NA;"23";""
"234";"ANCENIS";"LES SABLES D'OLONNE";"42";NA;"28,5";""
"235";"ANCENIS";"NANTES";"14,3";NA;"9,6";""
"236";"ANCENIS";"PARIS MONTPARNASSE 1 ET 2";"111";20;"77";""
"237";"ANCENIS";"SABLE";"31";NA;"21,5";""
"238";"ANCENIS";"ST NAZAIRE";"30";NA;"21";""
"239";"ANGERS ST LAUD ";"AEROPORT CDG 2 TGV ROISSY";"107";20;"75";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"240";"ANGERS ST LAUD ";"LYON PART DIEU";"140";25;"99";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"241";"ANGERS ST LAUD ";"LYON PERRACHE";"140";25;"99";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"242";"ANGERS ST LAUD ";"LYON SAINT EXUPERY TGV";"135";25;"96";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"243";"ANGERS ST LAUD ";"MARNE LA VALLEE CHESSY";"107";20;"75";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"244";"ANGERS ST LAUD ";"MASSY TGV";"107";20;"75";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"245";"ANGERS ST LAUD ";"PARIS MONTPARNASSE 1 ET 2";"107";20;"75";"Tarifs applicables aux circulations à partir du 2 juillet 2017"
"246";"ANGERS ST LAUD";"AEROPORT CDG 2 TGV ROISSY";"104";20;"73";"Tarifs applicables aux circulations jusqu'au 1er juillet 2017"
"247";"ANGERS ST LAUD";"AIME LA PLAGNE";"161";25;"120";""
"248";"ANGERS ST LAUD";"AIX EN PROVENCE TGV";"173";25;"133";""
"249";"ANGERS ST LAUD";"AIX LES BAINS LE REVARD";"161";25;"120";""
"250";"ANGERS ST LAUD";"ALBERTVILLE";"161";25;"120";""
"251";"ANGERS ST LAUD";"ANCENIS";"19";NA;"13";""
"252";"ANGERS ST LAUD";"ANNECY";"161";25;"120";""
"253";"ANGERS ST LAUD";"ANNEMASSE";"161";25;"120";""
"254";"ANGERS ST LAUD";"ARRAS";"127";25;"101";""
"255";"ANGERS ST LAUD";"AURAY";"60";NA;"41";""
"256";"ANGERS ST LAUD";"AVIGNON";"173";25;"133";""
"257";"ANGERS ST LAUD";"AVIGNON TGV";"173";25;"133";""
"258";"ANGERS ST LAUD";"BOURG ST MAURICE";"161";25;"120";""
"259";"ANGERS ST LAUD";"BREST";"106";NA;"74";""
"260";"ANGERS ST LAUD";"CHAMBERY CHALLES LES EAUX";"161";25;"120";""
"261";"ANGERS ST LAUD";"CHAMPAGNE ARDENNE";"122";25;"92";""
